Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
with real Users,Chrome 71.0.3578.98,,2019-01-03 11:52:04,2019-01-03 12:01:31,9m - 27.150s,FAILED
,,,,,,
Test Cases/Pre-Salary/One Driver Calc,Chrome 71.0.3578.98,,2019-01-03 11:52:04,2019-01-03 11:52:55,50.717s,PASSED
"login.c_login.logIn(site, userName, userPass)",Chrome 71.0.3578.98,,2019-01-03 11:52:05,2019-01-03 11:52:18,12.123s,PASSED
date = new java.util.Date(),Chrome 71.0.3578.98,,2019-01-03 11:52:18,2019-01-03 11:52:18,0.007s,PASSED
cal = Calendar.getInstance(),Chrome 71.0.3578.98,,2019-01-03 11:52:18,2019-01-03 11:52:18,0.008s,PASSED
cal.setTime(date),Chrome 71.0.3578.98,,2019-01-03 11:52:18,2019-01-03 11:52:18,0.009s,PASSED
month = cal.get(MONTH) + 1,Chrome 71.0.3578.98,,2019-01-03 11:52:18,2019-01-03 11:52:18,0.002s,PASSED
year = cal.get(YEAR),Chrome 71.0.3578.98,,2019-01-03 11:52:18,2019-01-03 11:52:18,0.001s,PASSED
"dayStr = ""01""",Chrome 71.0.3578.98,,2019-01-03 11:52:18,2019-01-03 11:52:18,0.001s,PASSED
"monthStr = """"",Chrome 71.0.3578.98,,2019-01-03 11:52:18,2019-01-03 11:52:18,0.002s,PASSED
yearStr = year.toString(),Chrome 71.0.3578.98,,2019-01-03 11:52:18,2019-01-03 11:52:18,0.001s,PASSED
if (month < 10),Chrome 71.0.3578.98,,2019-01-03 11:52:18,2019-01-03 11:52:18,0.003s,PASSED
fullDate = dayStr + monthStr + yearStr,Chrome 71.0.3578.98,,2019-01-03 11:52:18,2019-01-03 11:52:18,0.000s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-03 11:52:18,2019-01-03 11:52:19,1.028s,PASSED
"waitForElementPresent(findTestObject(""General/mainEmptyBackground""), 15)",Chrome 71.0.3578.98,,2019-01-03 11:52:19,2019-01-03 11:52:19,0.654s,PASSED
"isPreSalaryTabOpen = waitForElementPresent(findTestObject(""Pre-Salary/preSalaryTab""), 5)",Chrome 71.0.3578.98,,2019-01-03 11:52:19,2019-01-03 11:52:25,5.351s,PASSED
if (!(isPreSalaryTabOpen)),Chrome 71.0.3578.98,,2019-01-03 11:52:25,2019-01-03 11:52:26,1.319s,PASSED
"waitForElementPresent(findTestObject(""Pre-Salary/Filters/Date Picker Start/datePickerInputField""), 15)",Chrome 71.0.3578.98,,2019-01-03 11:52:26,2019-01-03 11:52:27,0.570s,PASSED
