Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
12-11-2018,Chrome 71.0.3578.98,,2018-12-30 12:07:38,2018-12-30 12:10:59,3m - 20.837s,FAILED
,,,,,,
Test Cases/Basic/Log In,Chrome 71.0.3578.98,,2018-12-30 12:07:38,2018-12-30 12:08:26,47.158s,FAILED
"login.c_login.logIn(site, userName, userPass)",Chrome 71.0.3578.98,,2018-12-30 12:07:39,2018-12-30 12:07:53,14.201s,PASSED
"waitForElementPresent(findTestObject(""Nav Bar/catalogues""), 15, CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-30 12:07:53,2018-12-30 12:08:09,15.540s,PASSED
delay(1),Chrome 71.0.3578.98,,2018-12-30 12:08:09,2018-12-30 12:08:10,1.022s,PASSED
"click(findTestObject(""Nav Bar/catalogues""))",Chrome 71.0.3578.98,,2018-12-30 12:08:10,2018-12-30 12:08:26,15.903s,FAILED
,,,,,,
Test Cases/Basic/Config Change,Chrome 71.0.3578.98,,2018-12-30 12:08:26,2018-12-30 12:09:23,57.173s,FAILED
randomNumberInt = Math.floor(Math.random() * 999 - 100 + 1) + 100,Chrome 71.0.3578.98,,2018-12-30 12:08:26,2018-12-30 12:08:26,0.014s,PASSED
randomNumber = randomNumberInt.toString(),Chrome 71.0.3578.98,,2018-12-30 12:08:26,2018-12-30 12:08:26,0.002s,PASSED
"login.c_login.logIn(site, userName, userPass)",Chrome 71.0.3578.98,,2018-12-30 12:08:26,2018-12-30 12:08:50,24.434s,PASSED
"waitForElementPresent(findTestObject(""Nav Bar/settings""), 15, CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-30 12:08:50,2018-12-30 12:09:06,15.595s,PASSED
delay(1),Chrome 71.0.3578.98,,2018-12-30 12:09:06,2018-12-30 12:09:07,1.003s,PASSED
"click(findTestObject(""Nav Bar/settings""))",Chrome 71.0.3578.98,,2018-12-30 12:09:07,2018-12-30 12:09:23,15.842s,FAILED
,,,,,,
Test Cases/Entities Creator/Create Personnel,Chrome 71.0.3578.98,,2018-12-30 12:09:23,2018-12-30 12:10:12,49.103s,FAILED
nowStr = newDate.c_nowStr.getNowStr(),Chrome 71.0.3578.98,,2018-12-30 12:09:23,2018-12-30 12:09:23,0.063s,PASSED
city = address.c_address.getCity(),Chrome 71.0.3578.98,,2018-12-30 12:09:23,2018-12-30 12:09:23,0.009s,PASSED
street = address.c_address.getStreet(),Chrome 71.0.3578.98,,2018-12-30 12:09:23,2018-12-30 12:09:23,0.002s,PASSED
houseNum = address.c_address.getHouseNum(),Chrome 71.0.3578.98,,2018-12-30 12:09:23,2018-12-30 12:09:23,0.002s,PASSED
apartmentNum = address.c_address.getApartmentNum(),Chrome 71.0.3578.98,,2018-12-30 12:09:23,2018-12-30 12:09:23,0.002s,PASSED
entrance = address.c_address.getEntrance(),Chrome 71.0.3578.98,,2018-12-30 12:09:23,2018-12-30 12:09:23,0.002s,PASSED
mailbox = address.c_address.getMailbox(),Chrome 71.0.3578.98,,2018-12-30 12:09:23,2018-12-30 12:09:23,0.001s,PASSED
zipCode = address.c_address.getZipCode(),Chrome 71.0.3578.98,,2018-12-30 12:09:23,2018-12-30 12:09:23,0.001s,PASSED
email = communication.c_communication.getEmail(),Chrome 71.0.3578.98,,2018-12-30 12:09:23,2018-12-30 12:09:23,0.007s,PASSED
mobilePhone = communication.c_communication.getMobilePhone(),Chrome 71.0.3578.98,,2018-12-30 12:09:23,2018-12-30 12:09:23,0.001s,PASSED
homePhone = communication.c_communication.getHomePhone(),Chrome 71.0.3578.98,,2018-12-30 12:09:23,2018-12-30 12:09:23,0.001s,PASSED
officePhone = communication.c_communication.getOfficePhone(),Chrome 71.0.3578.98,,2018-12-30 12:09:23,2018-12-30 12:09:23,0.001s,PASSED
phoneExten = communication.c_communication.getPhoneExten(),Chrome 71.0.3578.98,,2018-12-30 12:09:23,2018-12-30 12:09:23,0.000s,PASSED
faxNum = communication.c_communication.getFaxNum(),Chrome 71.0.3578.98,,2018-12-30 12:09:23,2018-12-30 12:09:23,0.000s,PASSED
"login.c_login.logIn(site, userName, userPass)",Chrome 71.0.3578.98,,2018-12-30 12:09:23,2018-12-30 12:09:39,16.189s,PASSED
"waitForElementPresent(findTestObject(""Nav Bar/catalogues""), 15, CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-30 12:09:39,2018-12-30 12:09:55,15.619s,PASSED
delay(1),Chrome 71.0.3578.98,,2018-12-30 12:09:55,2018-12-30 12:09:56,1.001s,PASSED
"click(findTestObject(""Nav Bar/catalogues""))",Chrome 71.0.3578.98,,2018-12-30 12:09:56,2018-12-30 12:10:12,15.895s,FAILED
,,,,,,
Test Cases/Entities Creator/Create Personnel - fail,Chrome 71.0.3578.98,,2018-12-30 12:10:12,2018-12-30 12:10:58,46.192s,FAILED
nowStr = newDate.c_nowStr.getNowStr(),Chrome 71.0.3578.98,,2018-12-30 12:10:12,2018-12-30 12:10:12,0.002s,PASSED
