Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Command and Control,Chrome 71.0.3578.98,,2019-01-21 12:12:07,2019-01-21 12:13:10,1m - 2.326s,PASSED
,,,,,,
Test Cases/Command and Control/Control tasks,Chrome 71.0.3578.98,,2019-01-21 12:12:08,2019-01-21 12:13:10,1m - 1.984s,PASSED
"login.c_login.logIn(site, userName, userPass)",Chrome 71.0.3578.98,,2019-01-21 12:12:08,2019-01-21 12:12:27,18.630s,PASSED
delay(1),Chrome 71.0.3578.98,"login
",2019-01-21 12:12:27,2019-01-21 12:12:28,1.020s,PASSED
"waitForElementPresent(findTestObject(""General/mainEmptyBackground""), 15)",Chrome 71.0.3578.98,,2019-01-21 12:12:28,2019-01-21 12:12:28,0.196s,PASSED
"waitForElementPresent(findTestObject(""Nav Bar/commandAndControl""), 15)",Chrome 71.0.3578.98,,2019-01-21 12:12:28,2019-01-21 12:12:29,1.047s,PASSED
"waitForElementNotPresent(findTestObject(""General/loadingBar""), 15)",Chrome 71.0.3578.98,,2019-01-21 12:12:29,2019-01-21 12:12:36,6.709s,PASSED
"isControldTasksOpen = waitForElementPresent(findTestObject(""Command and Control/Tasks Control/taskControlView""), 15)",Chrome 71.0.3578.98,check if task control view is already open,2019-01-21 12:12:36,2019-01-21 12:12:51,15.356s,PASSED
if (!(isControldTasksOpen)),Chrome 71.0.3578.98,if task control view is not open then open it,2019-01-21 12:12:51,2019-01-21 12:12:53,1.239s,PASSED
"waitForElementPresent(findTestObject(""Command and Control/Tasks Control/taskControlView""), 15)",Chrome 71.0.3578.98,,2019-01-21 12:12:53,2019-01-21 12:12:53,0.021s,PASSED
"waitForElementNotPresent(findTestObject(""General/loadingBar""), 15)",Chrome 71.0.3578.98,,2019-01-21 12:12:53,2019-01-21 12:12:53,0.028s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-21 12:12:53,2019-01-21 12:12:54,1.001s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/dateField""), 15)",Chrome 71.0.3578.98,check if date field exist,2019-01-21 12:12:54,2019-01-21 12:12:55,0.903s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/dateField""), 5)",Chrome 71.0.3578.98,,2019-01-21 12:12:55,2019-01-21 12:12:55,0.085s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/footer""), 15)",Chrome 71.0.3578.98,check if footer exist,2019-01-21 12:12:55,2019-01-21 12:12:55,0.042s,PASSED
