Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pre Salary,Chrome 73.0.3683.103,,2019-04-24 08:52:27,2019-04-24 09:05:03,12m - 36.461s,FAILED
,,,,,,
Test Cases/Pre-Salary/One Driver Calc,Chrome 73.0.3683.103,,2019-04-24 08:52:27,2019-04-24 08:55:21,2m - 53.551s,FAILED
"login.c_login.logIn(site, userName, userPass)",Chrome 73.0.3683.103,,2019-04-24 08:52:28,2019-04-24 08:53:03,34.579s,PASSED
date = new java.util.Date(),Chrome 73.0.3683.103,,2019-04-24 08:53:03,2019-04-24 08:53:03,0.007s,PASSED
cal = Calendar.getInstance(),Chrome 73.0.3683.103,,2019-04-24 08:53:03,2019-04-24 08:53:03,0.007s,PASSED
cal.setTime(date),Chrome 73.0.3683.103,,2019-04-24 08:53:03,2019-04-24 08:53:03,0.013s,PASSED
month = cal.get(MONTH) + 1,Chrome 73.0.3683.103,,2019-04-24 08:53:03,2019-04-24 08:53:03,0.004s,PASSED
year = cal.get(YEAR),Chrome 73.0.3683.103,,2019-04-24 08:53:03,2019-04-24 08:53:03,0.001s,PASSED
"dayStr = ""01""",Chrome 73.0.3683.103,,2019-04-24 08:53:03,2019-04-24 08:53:03,0.002s,PASSED
"monthStr = """"",Chrome 73.0.3683.103,,2019-04-24 08:53:03,2019-04-24 08:53:03,0.001s,PASSED
yearStr = year.toString(),Chrome 73.0.3683.103,,2019-04-24 08:53:03,2019-04-24 08:53:03,0.005s,PASSED
if (month < 10),Chrome 73.0.3683.103,,2019-04-24 08:53:03,2019-04-24 08:53:03,0.003s,PASSED
fullDate = dayStr + monthStr + yearStr,Chrome 73.0.3683.103,,2019-04-24 08:53:03,2019-04-24 08:53:03,0.001s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-24 08:53:03,2019-04-24 08:53:04,1.055s,PASSED
"waitForElementPresent(findTestObject(""General/mainEmptyBackground""), 15)",Chrome 73.0.3683.103,,2019-04-24 08:53:04,2019-04-24 08:53:12,7.804s,PASSED
"isPreSalaryTabOpen = waitForElementPresent(findTestObject(""Pre-Salary/preSalaryTab""), 5)",Chrome 73.0.3683.103,,2019-04-24 08:53:12,2019-04-24 08:53:17,5.284s,PASSED
if (!(isPreSalaryTabOpen)),Chrome 73.0.3683.103,,2019-04-24 08:53:17,2019-04-24 08:53:20,2.720s,PASSED
