Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Basic Sanity,Chrome 70.0.3538.77,,2018-11-04 09:45:20,2018-11-04 09:46:06,46.220s,PASSED
,,,,,,
Test Cases/Basic/Log In,Chrome 70.0.3538.77,,2018-11-04 09:45:21,2018-11-04 09:45:38,17.734s,PASSED
logIn.c_logIn.logIn,Chrome 70.0.3538.77,,2018-11-04 09:45:21,2018-11-04 09:45:33,12.119s,PASSED
waitForElementPresent,Chrome 70.0.3538.77,,2018-11-04 09:45:33,2018-11-04 09:45:35,2.029s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-04 09:45:35,2018-11-04 09:45:36,1.021s,PASSED
click,Chrome 70.0.3538.77,,2018-11-04 09:45:36,2018-11-04 09:45:37,0.218s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-04 09:45:37,2018-11-04 09:45:38,1.002s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-04 09:45:38,2018-11-04 09:45:38,0.818s,PASSED
,,,,,,
Test Cases/Basic/Config Change,Chrome 70.0.3538.77,,2018-11-04 09:45:38,2018-11-04 09:46:06,27.795s,PASSED
Statement - randomNumber = java.lang.Math.round(java.lang.Math.random() * 1000).toString(),Chrome 70.0.3538.77,,2018-11-04 09:45:39,2018-11-04 09:45:39,0.015s,PASSED
logIn.c_logIn.logIn,Chrome 70.0.3538.77,,2018-11-04 09:45:39,2018-11-04 09:45:50,11.277s,PASSED
waitForElementPresent,Chrome 70.0.3538.77,,2018-11-04 09:45:50,2018-11-04 09:45:52,1.631s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-04 09:45:52,2018-11-04 09:45:53,1.002s,PASSED
click,Chrome 70.0.3538.77,,2018-11-04 09:45:53,2018-11-04 09:45:53,0.391s,PASSED
Statement - Try,Chrome 70.0.3538.77,,2018-11-04 09:45:53,2018-11-04 09:45:53,0.235s,PASSED
waitForElementClickable,Chrome 70.0.3538.77,,2018-11-04 09:45:53,2018-11-04 09:45:54,0.624s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-04 09:45:54,2018-11-04 09:45:54,0.116s,PASSED
Statement - checkValue = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(System Preferences/fax_Zip_Code)),Chrome 70.0.3538.77,,2018-11-04 09:45:54,2018-11-04 09:45:54,0.067s,PASSED
Statement - i = 0,Chrome 70.0.3538.77,,2018-11-04 09:45:54,2018-11-04 09:45:54,0.000s,PASSED
Statement - While (checkValue && i < 5),Chrome 70.0.3538.77,,2018-11-04 09:45:54,2018-11-04 09:45:54,0.001s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-04 09:45:54,2018-11-04 09:45:54,0.131s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-04 09:45:54,2018-11-04 09:45:55,1.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-04 09:45:55,2018-11-04 09:45:55,0.139s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-04 09:45:55,2018-11-04 09:45:56,1.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-04 09:45:56,2018-11-04 09:45:57,0.159s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-04 09:45:57,2018-11-04 09:45:58,1.002s,PASSED
click,Chrome 70.0.3538.77,,2018-11-04 09:45:58,2018-11-04 09:45:58,0.071s,PASSED
Statement - Try,Chrome 70.0.3538.77,,2018-11-04 09:45:58,2018-11-04 09:45:58,0.733s,PASSED
waitForElementClickable,Chrome 70.0.3538.77,,2018-11-04 09:45:58,2018-11-04 09:45:58,0.078s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-04 09:45:58,2018-11-04 09:45:59,1.002s,PASSED
verifyElementAttributeValue,Chrome 70.0.3538.77,,2018-11-04 09:45:59,2018-11-04 09:45:59,0.049s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-04 09:45:59,2018-11-04 09:46:00,1.001s,PASSED
executeJavaScript,Chrome 70.0.3538.77,,2018-11-04 09:46:00,2018-11-04 09:46:00,0.032s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-04 09:46:00,2018-11-04 09:46:05,5.002s,PASSED
acceptAlert,Chrome 70.0.3538.77,,2018-11-04 09:46:05,2018-11-04 09:46:05,0.020s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-04 09:46:05,2018-11-04 09:46:06,0.714s,PASSED
