Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pre Salary,Chrome 73.0.3683.103,,2019-04-30 14:50:34,2019-04-30 15:04:51,14m - 17.418s,PASSED
,,,,,,
Test Cases/Pre-Salary/One Driver Calc,Chrome 73.0.3683.103,,2019-04-30 14:50:34,2019-04-30 14:51:52,1m - 18.182s,PASSED
"login.c_login.logIn(site, userName, userPass)",Chrome 73.0.3683.103,,2019-04-30 14:50:35,2019-04-30 14:50:50,15.318s,PASSED
date = new java.util.Date(),Chrome 73.0.3683.103,,2019-04-30 14:50:50,2019-04-30 14:50:50,0.007s,PASSED
cal = Calendar.getInstance(),Chrome 73.0.3683.103,,2019-04-30 14:50:50,2019-04-30 14:50:50,0.007s,PASSED
cal.setTime(date),Chrome 73.0.3683.103,,2019-04-30 14:50:50,2019-04-30 14:50:50,0.013s,PASSED
month = cal.get(MONTH) + 1,Chrome 73.0.3683.103,,2019-04-30 14:50:50,2019-04-30 14:50:50,0.002s,PASSED
year = cal.get(YEAR),Chrome 73.0.3683.103,,2019-04-30 14:50:50,2019-04-30 14:50:50,0.001s,PASSED
"dayStr = ""01""",Chrome 73.0.3683.103,,2019-04-30 14:50:50,2019-04-30 14:50:50,0.001s,PASSED
"monthStr = """"",Chrome 73.0.3683.103,,2019-04-30 14:50:50,2019-04-30 14:50:50,0.001s,PASSED
yearStr = year.toString(),Chrome 73.0.3683.103,,2019-04-30 14:50:50,2019-04-30 14:50:50,0.004s,PASSED
if (month < 10),Chrome 73.0.3683.103,,2019-04-30 14:50:50,2019-04-30 14:50:50,0.002s,PASSED
fullDate = dayStr + monthStr + yearStr,Chrome 73.0.3683.103,,2019-04-30 14:50:50,2019-04-30 14:50:50,0.001s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-30 14:50:50,2019-04-30 14:50:51,1.043s,PASSED
"waitForElementPresent(findTestObject(""General/mainEmptyBackground""), 15)",Chrome 73.0.3683.103,,2019-04-30 14:50:51,2019-04-30 14:50:53,1.705s,PASSED
